plant_id;id;nama_pks;regional_id;kaps_terpasang;faktor_koreksi_kaps;faktor_koreksi_utilitas;unit;instalasi_bunch_press;pln_isasi;cofiring;hidden_pica_cost;hidden_pica_cpo;jenis;kaps_terpasang_sf
1F12;1;PKS Hapesong;1;30;100;100;1;1;0;0;1;1;0;30
1F08;2;PKS Aek Nabara Selatan;1;60;80;80;1;1;0;0;1;1;0;60
1F10;3;PKS Sei Mangkei;1;75;80;80;1;1;1;0;1;1;0;75
1F06;4;PKS Aek Raso;1;30;100;100;1;1;0;0;1;1;0;30
1F07;5;PKS Sisumut;1;30;100;100;1;1;0;0;1;1;0;30
1F04;6;PKS Sei Baruhur;1;30;100;100;1;1;0;0;1;1;0;30
1F11;7;PKS Rambutan;1;30;100;100;1;1;0;0;1;1;0;30
1F03;8;PKS Torgamba;1;60;80;80;1;1;0;0;1;1;0;60
1F05;9;PKS Aek Torop;1;60;80;80;1;1;0;0;1;1;0;60
1F09;10;PKS Sei Silau;1;60;80;80;1;1;0;0;1;1;0;60
1F02;11;PKS Sei Daun;1;60;80;80;1;1;0;0;1;1;0;60
9F01;12;PKS Sei Meranti;1;60;80;80;1;1;0;0;1;1;1;60
2F14;13;PKS Air Batu;2;30;100;100;1;1;0;0;1;1;0;30
2F05;14;PKS Gunung Bayu;2;30;100;100;1;0;0;0;1;1;0;30
2F16;15;PKS Berangir;2;30;100;100;1;1;0;0;1;1;0;30
2F17;16;PKS Ajamu;2;30;100;100;1;1;0;0;1;1;0;30
2F03;17;PKS Dolok Sinumbah;2;30;100;100;1;1;0;0;1;1;0;30
2F18;18;PKS Sosa;2;50;80;80;1;0;0;0;1;1;0;60
2F10;19;PKS Pabatu;2;30;100;100;1;1;0;0;1;1;0;30
2F12;20;PKS Timur;2;45;95;85;1;1;0;0;1;1;0;45
2F15;21;PKS Pulu Raja;2;30;100;100;1;0;0;0;1;1;0;30
2F04;22;PKS Dolok Ilir;2;60;80;80;1;1;0;0;1;1;0;60
2F06;23;PKS Mayang;2;40;95;90;1;0;0;0;1;1;0;45
2F09;24;PKS Adolina;2;30;100;100;1;1;0;0;1;1;0;30
2F13;25;PKS Tinjowan;2;60;80;80;1;1;0;0;1;1;0;60
2F01;26;PKS Bah Jambi;2;60;80;80;1;0;0;0;1;1;0;60
2F11;27;PKS Sawit Langkat;2;20;100;100;1;0;0;0;1;1;0;30
2F02;28;PKS Pasir Mandoge;2;60;80;80;1;0;0;0;1;1;0;60
3F03;29;PKS Sei Galuh;3;60;80;80;1;0;1;0;1;1;0;60
3F01;30;PKS Tanah Putih;3;60;80;80;1;0;1;0;1;1;0;60
3F12;31;PKS Sei Intan;3;30;100;100;1;0;0;0;1;1;0;30
